,dataset,feature,feature_importance
0,InterPro,(Uracil-5)-methyltransferase family,-7.410649710313746e-05
1,InterPro,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes",1.6877044541290948e-05
2,InterPro,"1,4-alpha-glucan-branching enzyme, GlgB",1.7746116293898413e-05
3,InterPro,1-acyl-sn-glycerol-3-phosphate acyltransferase,6.515139908945215e-08
4,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",6.108912212610648e-05
5,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",6.10891221276352e-05
6,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",6.68850570315184e-05
7,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1",6.51700137056752e-05
8,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3",6.213812762649442e-05
9,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4",6.517001370363698e-05
10,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1",0.00011624817306008317
11,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",-2.7714396752132787e-18
12,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",6.517001370598576e-05
13,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",7.516817565252472e-05
14,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",6.270234692455542e-05
15,InterPro,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1",5.561065195220587e-18
16,InterPro,10-formyltetrahydrofolate dehydrogenase,-1.507940572869531e-05
17,InterPro,14-3-3 domain,-1.0747724964468369e-08
18,InterPro,14-3-3 protein,-1.074772498468322e-08
19,InterPro,"14-3-3 protein, conserved site",-1.0747724964330104e-08
20,InterPro,14kDa phosphohistidine phosphatase,5.658242591182949e-14
21,InterPro,17beta-dehydrogenase,-1.1377678063840447e-05
22,InterPro,2'-5'-oligoadenylate synthase,4.217324682817166e-05
23,InterPro,"2'-5'-oligoadenylate synthetase 1, domain 2/C-terminal",4.21732468281783e-05
24,InterPro,"2-5-oligoadenylate synthetase, N-terminal",4.232767220349094e-05
25,InterPro,"2-5-oligoadenylate synthetase, conserved site",4.2173246828168294e-05
26,InterPro,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,7.387044455713658e-18
27,InterPro,2-amino-3-ketobutyrate coenzyme A ligase,0.00011003796590971932
28,InterPro,"2-deoxynucleoside 5-phosphate N-hydrolase 1, DNPH1",-3.886471202941664e-14
29,InterPro,"2-oxo acid dehydrogenase, lipoyl-binding site",-4.240739186522797e-06
30,InterPro,"2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase, type 1",6.506308359491335e-19
31,InterPro,"2-oxoacid dehydrogenase acyltransferase, catalytic domain",-4.240739186520074e-06
32,InterPro,2-oxoglutarate dehydrogenase E1 component,7.845892816047589e-08
33,InterPro,"2-phosphoglycolate phosphatase, eukaryotic",1.7963371675989733e-05
34,InterPro,"2-thiocytidine tRNA biosynthesis protein, TtcA",-5.0514938512264796e-18
35,InterPro,"25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2",1.032800682695616e-18
36,InterPro,"26S proteasome complex ubiquitin receptor, subunit Rpn13",5.160829562512876e-16
37,InterPro,26S proteasome non-ATPase regulatory subunit 5,2.053639744062003e-05
38,InterPro,26S proteasome non-ATPase regulatory subunit Rpn12,6.864901316164009e-16
39,InterPro,"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit",1.7710593713096242e-05
40,InterPro,"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit",2.0620588474046056e-05
41,InterPro,"26S proteasome regulatory subunit, C-terminal",1.7545038486277315e-05
42,InterPro,26S proteasome subunit P45,-2.5172548154480705e-05
43,InterPro,"26S proteasome, regulatory subunit Rpn7",2.9161734760214996e-05
44,InterPro,28S ribosomal protein S24,-3.532075591606311e-18
45,InterPro,28S ribosomal protein S26,-1.1818425020611975e-15
